书名,作者,译者,星数,评价人数,引语,出版社,出版时间,价格
爱你就像爱生命,王小波 , ,8.8,83540,王小波与李银河的两地书, 上海锦绣文章出版社 , 2008-5 , 18.00元
我们仨,杨绛 , ,8.7,236600,家庭生活回忆录, 生活·读书·新知三联书店 , 2003-7 , 18.80元
悉达多,[德] 赫尔曼·黑塞 , 杨玉功 译 ,9.0,24788,在那最绝望的一刹那，他突然听到了生命之河永恒的声音……, 上海人民出版社 , 2009-3 , 20.00
巨人的陨落,[英] 肯·福莱特 , 于大卫 ,8.9,65660,五个家族，一场战争, 江苏凤凰文艺出版社 , 2016-5-1 , 129.80元
道德经精义,黄元吉 , ,9.4,12526,中国历史上首部完整的哲学著作, 陕西人民出版社 , 1996-10 , 4.50元
这些人，那些事,吴念真 , ,8.8,55804,平淡叙述下的惊心动魄, 译林出版社 , 2011-9 , 28.00元
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼 , 宁蒙 ,9.0,33714,这个发生在瑞典的故事，如生命庆典般绚丽斑斓, 四川文艺出版社 , 2015-12 , 35.00元
教父,[美]马里奥·普佐 , 周汉林 ,9.0,31191,“教父三部曲”电影原著, 译林出版社 , 1997-8 , 23.30元
最好的告别,[美] 阿图·葛文德（Atul Gawande） , 王一方 主编 ,9.0,24503,关于衰老与死亡，你必须知道的常识, 浙江人民出版社 , 2015-7-31 , CNY 54.90
你当像鸟飞往你的山,[美] 塔拉·韦斯特弗 , 任爱红 ,8.9,55886,我来自一个极少有人能想象的家庭，教育给了我新世界, 南海出版公司 , 2019-10-20 , 59.00元
海子的诗,海子 , ,8.9,32975, , 人民文学出版社 , 1999-04 , 15.40
呼兰河传,萧红 , ,8.9,53744,萧红的童年往事, 百花文艺出版社 , 2005-01 , 19.00
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 , 徐翰林 ,8.9,49997,一个淡泊清透的世界, 哈尔滨出版社 , 2004-6 , 16.80元
看不见的城市,[意大利]伊塔洛·卡尔维诺 , 张宓 ,8.8,33808,每一座城市都只在想象中耸立，又在描述中坍圮, 译林出版社 , 2006-8 , 16.00元
唐诗三百首,蘅塘退士 , ,9.4,13997,熟读唐诗三百首，不会吟诗也会吟, 中华书局 , 1998-1-1 , 0.65
鹿鼎记（全五册）,金庸 , ,8.8,45000,武侠的解构，流氓的狂欢, 广州出版社 花城出版社 , 2008-3 , 108.00元
朝花夕拾,鲁迅 , ,8.8,83739,在纷扰中寻出一点闲静, 人民文学出版社 , 1972年4月 , 0.25元
人生的枷锁,[英] 毛姆 , 张柏然 ,9.0,19656,在混沌纷扰的生活漩流中，寻求人生的真谛, 上海译文出版社 , 2007-3 , 32.00元
梦里花落知多少,三毛 , ,8.8,75357,哀而不伤, 北京十月文艺出版社 , 2007-6 , 28.00元
斯通纳,[美] 约翰·威廉斯 , 杨向荣 ,8.8,32742,即使不能拥有完美的生活，所幸追求过完整的自我, 上海人民出版社 , 2016-1 , 39.00元
边城,沈从文 , ,8.7,176937,一切充满了善，然而到处是不凑巧, 北岳文艺出版社 , 2002-4 , 12.00元
